AverageTemperature,City,Country,Month,Year
24.243,2,Mexico,3,1899
24.057,2,Mexico,4,1899
26.299,2,Mexico,5,1899
26.009,2,Mexico,6,1899
27.182,2,Mexico,7,1899
27.221,2,Mexico,8,1899
26.575,2,Mexico,9,1899
26.816,2,Mexico,10,1899
26.255,2,Mexico,11,1899
25.393,2,Mexico,12,1899
24.917,2,Mexico,1,1900
24.924,2,Mexico,2,1900
24.182,2,Mexico,3,1900
24.415,2,Mexico,4,1900
25.975,2,Mexico,5,1900
28.106,2,Mexico,6,1900
27.112,2,Mexico,7,1900
27.189,2,Mexico,8,1900
27.148,2,Mexico,9,1900
27.268,2,Mexico,10,1900
26.736,2,Mexico,11,1900
24.997,2,Mexico,12,1900
25.005,2,Mexico,1,1901
24.252,2,Mexico,2,1901
24.003,2,Mexico,3,1901
24.05,2,Mexico,4,1901
26.354,2,Mexico,5,1901
27.916,2,Mexico,6,1901
27.227,2,Mexico,7,1901
27.173,2,Mexico,8,1901
27.058,2,Mexico,9,1901
26.288,2,Mexico,10,1901
26.113,2,Mexico,11,1901
24.676,2,Mexico,12,1901
24.23,2,Mexico,1,1902
24.24,2,Mexico,2,1902
23.773,2,Mexico,3,1902
25.105,2,Mexico,4,1902
26.235,2,Mexico,5,1902
27.843,2,Mexico,6,1902
26.779,2,Mexico,7,1902
27.449,2,Mexico,8,1902
27.081,2,Mexico,9,1902
26.471,2,Mexico,10,1902
26.708,2,Mexico,11,1902
25.302,2,Mexico,12,1902
24.218,2,Mexico,1,1903
24.813,2,Mexico,2,1903
24.047,2,Mexico,3,1903
25.069,2,Mexico,4,1903
26.154,2,Mexico,5,1903
26.542,2,Mexico,6,1903
27.167,2,Mexico,7,1903
26.565,2,Mexico,8,1903
26.66,2,Mexico,9,1903
25.84,2,Mexico,10,1903
25.888,2,Mexico,11,1903
25.186,2,Mexico,12,1903
24.57,2,Mexico,1,1904
23.947,2,Mexico,2,1904
23.625,2,Mexico,3,1904
23.863,2,Mexico,4,1904
25.04,2,Mexico,5,1904
26.441,2,Mexico,6,1904
26.299,2,Mexico,7,1904
26.266,2,Mexico,8,1904
26.575,2,Mexico,9,1904
26.26,2,Mexico,10,1904
25.951,2,Mexico,11,1904
25.182,2,Mexico,12,1904
23.952,2,Mexico,1,1905
24.249,2,Mexico,2,1905
22.25,2,Mexico,3,1905
24.04,2,Mexico,4,1905
27.107,2,Mexico,5,1905
27.062,2,Mexico,6,1905
27.125,2,Mexico,7,1905
27.277,2,Mexico,8,1905
26.683,2,Mexico,9,1905
